dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc,4,125,5514,smote,local,ignore,0,0.007,698,5933,2792,la_llave.temp_min_t,2.87,0.86,0.81,0.9,0.76,0.93
dacc,5,155,5513,smote,local,ignore,0,0.015,390,3315,1560,junin.temp_min_t,2,0.91,0.7,0.94,0.8,0.98
dacc,5,155,5513,smote,local,ignore,0,0.041,1057,8984,4228,tunuyan.temp_min_t,2.67,0.87,0.85,0.91,0.85,0.93
dacc,5,155,5513,smote,local,ignore,0,0.007,496,4216,1984,agua_amarga.temp_min_t,2.24,0.88,0.61,0.91,0.74,0.96
dacc,5,155,5513,smote,local,ignore,0,0.008,567,4819,2268,las_paredes.temp_min_t,2.79,0.84,0.74,0.9,0.74,0.94
dacc,5,155,5513,smote,local,ignore,0,0.01,698,5933,2792,la_llave.temp_min_t,2.85,0.86,0.8,0.9,0.76,0.93
dacc-temp,1,20,5517,smote,hc,bic-g,1.049,0.012,390,3315,1560,junin.temp_min_t,2.16,0.9,0.75,0.94,0.77,0.97
dacc-spring,1,34,1829,smote,hc,bic-g,1.655,0.011,118,1003,472,junin.temp_min_t,2.38,0.78,0.44,0.93,0.56,0.97
dacc-temp,1,20,5517,smote,hc,bic-g,2.984,0.028,1057,8984,4228,tunuyan.temp_min_t,2.81,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,hc,bic-g,1.131,0.013,496,4216,1984,agua_amarga.temp_min_t,2.34,0.87,0.75,0.92,0.7,0.95
dacc,1,35,5517,smote,hc,bic-g,8.842,0.035,390,3315,1560,junin.temp_min_t,2.08,0.91,0.62,0.94,0.83,0.98
dacc-spring,1,34,1829,smote,hc,bic-g,7.749,0.194,348,2958,1392,tunuyan.temp_min_t,3.21,0.68,0.73,0.87,0.77,0.92
dacc-temp,1,20,5517,smote,hc,bic-g,1.443,0.016,567,4819,2268,las_paredes.temp_min_t,2.98,0.82,0.75,0.9,0.71,0.93
dacc-spring,1,34,1829,smote,hc,bic-g,2.639,0.013,163,1385,652,agua_amarga.temp_min_t,2.86,0.7,0.6,0.91,0.51,0.94
dacc-temp,1,20,5517,smote,hc,bic-g,2.182,0.02,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.9,0.75,0.92
dacc-temp,1,20,5517,smote,hc,loglik-g,1.924,0.017,390,3315,1560,junin.temp_min_t,2.17,0.9,0.75,0.94,0.77,0.97
dacc-spring,1,34,1829,smote,hc,bic-g,3.62,0.017,216,1836,864,las_paredes.temp_min_t,3,0.68,0.59,0.9,0.64,0.95
dacc-spring,1,34,1829,smote,hc,bic-g,4.154,0.019,242,2057,968,la_llave.temp_min_t,3.57,0.66,0.74,0.88,0.62,0.9
dacc-temp,1,20,5517,smote,hc,loglik-g,5.041,0.043,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.83,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,hc,loglik-g,2.461,0.022,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.78,0.92,0.72,0.95
dacc-spring,1,34,1829,smote,hc,loglik-g,6.113,0.023,118,1003,472,junin.temp_min_t,2.77,0.77,0.7,0.93,0.53,0.95
dacc-temp,1,20,5517,smote,hc,loglik-g,2.799,0.025,567,4819,2268,las_paredes.temp_min_t,3.01,0.82,0.75,0.9,0.71,0.93
dacc-temp,1,20,5517,smote,hc,loglik-g,3.465,0.029,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.79,0.89,0.74,0.92
dacc-temp,1,20,5517,smote,hc,aic-g,1.322,0.013,390,3315,1560,junin.temp_min_t,2.17,0.9,0.74,0.94,0.78,0.97
dacc-temp,1,20,5517,smote,hc,aic-g,7.085,0.039,1057,8984,4228,tunuyan.temp_min_t,2.83,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,hc,aic-g,1.844,0.018,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.79,0.92,0.71,0.95
