dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,1,20,5517,normal,tabu,aic-g,1.564,0.014,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,tabu,aic-g,1.564,0.014,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,aic-g,1.564,0.014,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,tabu,aic-g,1.564,0.014,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.63,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,tabu,aic-g,1.564,0.014,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,smote,tabu,aic-g,1.633,0.013,390,3315,1560,junin.temp_min_t,2.18,0.9,0.75,0.94,0.76,0.97
dacc-temp,1,20,5517,smote,tabu,aic-g,4.61,0.036,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,tabu,aic-g,2.289,0.018,496,4216,1984,agua_amarga.temp_min_t,2.32,0.87,0.73,0.92,0.72,0.95
dacc,1,35,5517,smote,hc,loglik-g,28.137,0.084,496,4216,1984,agua_amarga.temp_min_t,2.08,0.9,0.68,0.92,0.76,0.96
dacc-temp,1,20,5517,smote,tabu,aic-g,2.261,0.019,567,4819,2268,las_paredes.temp_min_t,2.98,0.82,0.74,0.9,0.73,0.94
dacc-temp,1,20,5517,smote,tabu,aic-g,3.072,0.024,698,5933,2792,la_llave.temp_min_t,3.12,0.83,0.78,0.89,0.74,0.92
dacc-temp,1,20,5517,normal,tabu,bge,14.399,0.013,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,tabu,bge,14.399,0.013,NA,3751,NA,tunuyan.temp_min_t,2.85,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,bge,14.399,0.013,NA,3751,NA,agua_amarga.temp_min_t,2.27,0.87,0.6,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,tabu,bge,14.399,0.013,NA,3751,NA,las_paredes.temp_min_t,2.9,0.82,0.62,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,tabu,bge,14.399,0.013,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc,1,35,5517,smote,hc,loglik-g,31.739,0.094,567,4819,2268,las_paredes.temp_min_t,2.88,0.83,0.74,0.9,0.72,0.94
dacc-temp,1,20,5517,smote,tabu,bge,15.568,0.012,390,3315,1560,junin.temp_min_t,2.16,0.9,0.73,0.94,0.77,0.97
dacc-spring,1,34,1829,smote,hc,bge,134.713,0.033,348,2958,1392,tunuyan.temp_min_t,3.23,0.67,0.7,0.87,0.77,0.92
dacc,1,35,5517,smote,hc,loglik-g,41.391,0.115,698,5933,2792,la_llave.temp_min_t,3.04,0.84,0.82,0.9,0.74,0.92
dacc-temp,1,20,5517,smote,tabu,bge,46.555,0.032,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc,1,35,5517,normal,hc,aic-g,15.898,0.051,NA,3751,NA,junin.temp_min_t,2.07,0.91,0.6,0.94,0.85,0.99
dacc,1,35,5517,normal,hc,aic-g,15.898,0.051,NA,3751,NA,tunuyan.temp_min_t,2.79,0.86,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,hc,aic-g,15.898,0.051,NA,3751,NA,agua_amarga.temp_min_t,2.07,0.9,0.63,0.92,0.76,0.97
dacc,1,35,5517,normal,hc,aic-g,15.898,0.051,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.8,0.97
dacc,1,35,5517,normal,hc,aic-g,15.898,0.051,NA,3751,NA,la_llave.temp_min_t,2.94,0.85,0.73,0.9,0.79,0.94
dacc,1,35,5517,smote,hc,aic-g,14.999,0.048,390,3315,1560,junin.temp_min_t,2.17,0.9,0.65,0.93,0.76,0.97
dacc-temp,1,20,5517,smote,tabu,bge,23.83,0.016,496,4216,1984,agua_amarga.temp_min_t,2.33,0.87,0.73,0.91,0.69,0.94
dacc-spring,1,34,1829,smote,hc,bge,42.765,0.015,163,1385,652,agua_amarga.temp_min_t,2.68,0.74,0.6,0.91,0.52,0.94
dacc-temp,1,20,5517,smote,tabu,bge,21.717,0.017,567,4819,2268,las_paredes.temp_min_t,2.99,0.82,0.74,0.9,0.72,0.94
dacc,1,35,5517,smote,hc,aic-g,49.857,0.14,1057,8984,4228,tunuyan.temp_min_t,2.71,0.86,0.82,0.91,0.88,0.95
dacc-temp,1,20,5517,smote,tabu,bge,29.412,0.021,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.9,0.75,0.92
