"","date-max","X21.HumRel-max","X45.soilMoisture-max","X44.soilMoisture-max","X28.temp-max","X27.temp-max","X25.temp-max","X24.temp-max","X23.temp-max","X22.temp-max","X21.temp-max","X21.HumRel-mean","X45.soilMoisture-mean","X44.soilMoisture-mean","X28.temp-mean","X27.temp-mean","X25.temp-mean","X24.temp-mean","X23.temp-mean","X22.temp-mean","X21.temp-mean","X21.HumRel-min","X45.soilMoisture-min","X44.soilMoisture-min","X28.temp-min","X27.temp-min","X25.temp-min","X24.temp-min","X23.temp-min","X22.temp-min","X21.temp-min"
"29",2011-07-21,91,20.6,22.2,11.6,12,12.63,11.94,11.9,11,10.52,80.55089505147,19.896121788927,21.5951064337118,7.21421644265395,7.00597069157286,6.84293820699297,6.83974705977419,7.0012122418288,6.70950643425434,6.53820391596933,66,18.9,21.1,1.8,2.4,1.44,1.69,1.3,1.31,1.17
"30",2011-07-22,93,20.9,21.6,15.5,16.5,15.31,14.94,15.7,15.5,15.53,81.5463450015769,19.5351808966502,20.9189674274783,6.28296951133095,6.32320847975845,5.92282270308087,5.72738501929929,5.64536082474227,5.54880600814138,5.50387272090408,58,18.5,20.2,-0.8,-0.6,-1.31,-1.5,-0.9,-1.31,-1.11
"31",2011-07-23,92.0041234796598,20.3,21.1,17.7,18,17.44,16.88,17.9,17.63,17.63,81.6598363245326,19.2826938482895,20.2281338057239,8.88856095182635,8.75807206081832,8.57721649484536,8.28337919950301,8.32024347291239,8.09135494596935,8.08771197746101,58,18.5,19.4,1.2,2.4,1.69,1.56,0.6,0.56,0.31
"32",2011-07-24,93,19.9,20.3,23.5,24,23.63,23.13,24,23.19,23.64,80.46875,19.0739583333333,19.5210654299167,14.0229166666667,13.8785441776783,13.4898002612774,13.1669372884602,13.3716702440889,12.9201041666667,13.045,58,18.2,18.8,5,5.3,4.31,4.38,2.8,3.25,3.12
"33",2011-07-25,88,20.2,22.6,27.1,27.3,26.31,26,27.2,26.38,26.65,73.5922909044409,19.0483015517933,18.9294099800268,20.2816832555314,19.9090050620056,19.6976745716162,19.6172666969385,20.4377729303597,19.7261855670103,19.6885892762906,56,17.8,17.9,13.7,13.3,13.44,13.31,14,13.63,13.32
"34",2011-07-26,89,24.3,24.9,17.7,17.8,18.06,17.75,18.7,17.5,17.01,73.6928452280544,21.6399852701682,22.0158570928086,11.2977037799438,10.9242255524602,10.8737543449965,10.51989131088,10.7850254954826,10.5473322150222,10.5388063391518,41,19,20.9,3.9,4.4,3.94,4.19,3.5,3.81,3.43
"35",2011-07-27,91,21.6,22.6,18.1,17.7,17.69,17.63,18.3,17.56,17.56,80.2395833333333,20.3950965887401,21.459375,10.8155431849729,10.5864583333333,10.2701041666667,10.3352083333333,10.6583333333333,10.054375,10.0553125,58,19.1,19.8,3,3,2.94,2.56,2.9,2.56,2.55
"36",2011-07-28,92,21.4,22.2,19.7,20.7,20.81,20.5,20.6,19.5,19.4,86.9722801523363,20.5886358260055,21.8438834469591,14.8175257731959,14.9220944485799,14.6409461175572,14.4584452187573,14.7990648344935,14.4223739308819,14.2198032741789,76,19.9,21.3,8.9,9.8,8.81,8.63,8.6,8.38,8.23
"37",2011-07-29,92,20.6,22,15.5,15.6,15.56,14.94,16.3,15,14.95,79.9270833333333,19.8395833333333,21.3510416666667,12.24375,11.91875,11.7779166666667,11.8659375,12.3822916666667,11.7846875,11.7323958333333,61,18.4,20.3,8.6,8.1,8.13,8.38,8.7,8.44,8.19
"38",2011-07-30,86,20.1,21.2,11.6,11.2,11.31,11.4444273215358,12.5,11.19,11.21,76.2382553441386,19.001685644299,20.546493181823,7.44716779922737,6.99908379793649,6.9002422934986,7.16983402674435,7.55921666602616,7.04802747919573,6.7822160281609,62,17.9,19.8,3.6,3.6,3.06,3.81,2.3,3.56,1.51
"39",2011-07-31,88,19.7,20.5,11.9,11,11.63,11,11.9,10.88,10.73,76.9692577939606,18.5389995375881,19.7747915592023,6.65879516693305,6.29351056961449,6.11886597938144,6.25040840741495,6.66708439781278,6.09641653691738,5.85347491478173,64,17.5,19,1.6,1.7,1.38,1.75,2,1.69,0.67
"40",2011-08-01,92.0213533258466,27,25.9,7.5,7.3,7.19,7.25,7.7,7.06,7.03,84.9135124057749,21.7272200483053,21.7446893794185,6.83555065275204,6.47110311206357,6.30218003877277,6.43011696809009,6.9811628264436,6.38777857425471,6.20837389005277,74,17.5,18.5,6.3,5.9,5.75,5.88,6.5,5.81,5.69
