"","date","junin.temp_max","junin.humedad_max","junin.temp_med","junin.radiacion_med","junin.humedad_med","junin.temp_min","junin.humedad_min","tunuyan.temp_max","tunuyan.humedad_max","tunuyan.temp_med","tunuyan.radiacion_med","tunuyan.humedad_med","tunuyan.temp_min","tunuyan.humedad_min","agua_amarga.temp_max","agua_amarga.humedad_max","agua_amarga.temp_med","agua_amarga.radiacion_med","agua_amarga.humedad_med","agua_amarga.temp_min","agua_amarga.humedad_min","las_paredes.temp_max","las_paredes.humedad_max","las_paredes.temp_med","las_paredes.radiacion_med","las_paredes.humedad_med","las_paredes.temp_min","las_paredes.humedad_min","la_llave.temp_max","la_llave.humedad_max","la_llave.temp_med","la_llave.radiacion_med","la_llave.humedad_med","la_llave.temp_min","la_llave.humedad_min"
"2009-05-21",2009-05-21,25.44,84,13.0625,136.416666666667,58.2916666666667,5.9,23,30.62,86,11.1041666666667,1,51.3333333333333,-1.45,9,28.38,41,15.1791666666667,168.125,22.9583333333333,4.8,10,28.3458691322978,47.6828237537273,15.3121444307916,-24.1563316417456,30.2885645251781,7.68083066194719,18.7956156686931,26.4,75,11.7166666666667,1,50.5833333333333,0.52,26
"2009-05-22",2009-05-22,26.4,83,14.8375,137.75,49.1666666666667,7.95,22,27.76,82,10.2958333333333,1,53.2083333333333,-0.45,12,27.38,38,14.4416666666667,152.791666666667,28.25,6.52,17,29.4254450368484,71.9976735012771,16.5229864074805,86.5116160436295,44.5196837229612,5.01250995550961,23.6169987184685,29.9,77,14.3166666666667,1,49.2083333333333,3,26
"2009-05-23",2009-05-23,26.22,61,16.55,113.625,47.625,9.59,31,27.35,81,11.5125,1,54.1666666666667,-0.22,12,24.77,54,15.2,154.916666666667,25,7.34,14,23.6548367298635,54.3054001343543,14.3512392017752,5.53353660745559,38.2636232390877,8.5639490581936,35.7262617557371,23.23,64,13.8958333333333,1,50.625,5.42,38
"2009-05-24",2009-05-24,24.82,90,16.1416666666667,126.875,64.1666666666667,10.75,37,24.7,89,12.3083333333333,1,66.2083333333333,2.34,35,22.5,70,14.1416666666667,138.375,57.5833333333333,7.95,41,27.0656031709255,73.8339855564748,15.7098227149046,58.0438760787693,59.2508950767725,9.78086771069684,40.4376582323607,26.86,78,16.5875,1,54.4583333333333,7.9,38
"2009-05-25",2009-05-25,16.6,96,12.175,60.375,68.9166666666667,7,48,19.13,86,11.2666666666667,1,65.0625,6.39,37,16.5,76,11.8869565217391,85.3478260869565,58.7391304347826,8.75,47,14.7926293496152,64.5052085970741,11.4407332145042,64.080221104225,52.8379325639372,8.19180226591584,44.8673440879737,20.19,70,13.5833333333333,1,49.25,7.54,38
"2009-05-26",2009-05-26,17.58,99,11.1916666666667,120.458333333333,68.375,3.65,40,12.88,82,10.2,1,69.3333333333333,8.16,52,10.98,81,9.525,26.7083333333333,68.9583333333333,8.26,63,14.0347772302009,78.0749140907403,9.20749802460826,65.322061947797,55.8774832243328,4.04234834278828,36.0799148431389,16.32,84,8.525,1,58.9166666666667,1.95,30
"2009-05-27",2009-05-27,12.9,87,10.3,41.625,57.7083333333333,8,45,15.52,79,8.84166666666667,1,59.25,3.34,33,14.24,77,9.025,102.875,58.375,4.34,40,13.4013254412219,59.1368454158011,8.58421068324098,-0.44676032304065,48.9555706542164,3.10244500954416,39.0939041734976,14.77,75,6.87916666666667,1,56,-1.07,35
"2009-05-28",2009-05-28,11.83,99,9.47083333333333,42.3333333333333,88.375,8.39,74,10.11,86,8.07916666666667,1,77.5,6.49,62,9.39,83,7.125,32.125,67.5416666666667,5.08,54,11.3807266846726,68.8189613166527,8.19750196193944,-5.59877230420454,67.668674282011,3.4891403074589,53.9618937160372,15.21,62,10.1,1,48.7916666666667,6.62,41
"2009-05-29",2009-05-29,10.49,99,8.64166666666667,30.1666666666667,94.0416666666667,7.29,80,8.67,88,7.60416666666667,1,85.0416666666667,7.03,78,7.39,89,6.60416666666667,14.625,85.875,6.11,81,11.1709404009087,87.8644453750369,8.20859743130321,-27.1380092308625,79.823692032737,7.32595953118264,61.1504702344606,13.11,83,9.89583333333333,1,66.9583333333333,7.52,53
"2009-05-30",2009-05-30,16.35,99,9.72083333333333,92.7083333333333,81.0833333333333,4.83,53,17.3,88,10.1083333333333,1,69.375,6.62,37,15.6,88,9.30833333333333,127.375,67.9166666666667,4,34,17.0391205241197,97.8421080681561,10.0231761920742,61.0842353299126,74.4473963687429,4.76055116183398,46.7927497909361,17.56,85,10.8583333333333,1,68.1666666666667,7.11,43
